Aktivitas_Fisik_Jam,Kalori_Harian_Kkal,Berat_Badan_Kg
1.44,2348.0,65.5
2.88,2234.0,62.5
2.33,2177.0,63.6
2.0,2140.0,62.1
0.89,1904.0,67.7
0.89,2056.0,68.0
0.65,2108.0,68.2
2.67,2411.0,63.7
2.0,2269.0,62.6
2.27,1847.0,62.8
0.55,2265.0,68.2
2.92,2123.0,61.2
2.58,2065.0,63.2
1.03,2322.0,68.7
0.95,2406.0,72.0
0.96,2386.0,68.5
1.26,2032.0,67.1
1.81,2138.0,65.4
1.58,2266.0,62.5
1.23,2395.0,67.5
2.03,2104.0,65.0
0.85,2163.0,72.8
1.23,1979.0,66.1
1.42,1961.0,66.6
1.64,2363.0,66.4
2.46,2471.0,62.5
1.0,2186.0,69.9
1.79,2401.0,67.7
1.98,2272.0,67.0
0.62,2071.0,66.4
2.02,2272.0,68.2
0.93,2508.0,65.8
0.66,2193.0,69.6
2.87,2513.0,68.3
2.91,1676.0,59.7
2.52,2364.0,63.3
1.26,2217.0,67.2
0.74,2140.0,67.1
2.21,2218.0,61.7
1.6,1802.0,65.3
0.81,2156.0,65.8
1.74,2271.0,67.0
0.59,2496.0,67.5
2.77,2096.0,66.2
1.15,2038.0,65.3
2.16,2100.0,63.9
1.28,2383.0,69.0
1.8,2266.0,63.4
1.87,2094.0,65.7
0.96,2303.0,70.6
